面積,人口
4.980587332000001,5194
0.34802102399999996,1240
0.595048311,178
0.6211818149999999,384
0.505169545,177
0.308905524,23
0.259291095,194
0.042814532,21
0.28495418,51
0.7021608460000001,898
0.518025591,77
2.342480678,2258
0.709721988,228
1.009782958,173
0.372538355,51
0.30855014399999997,86
0.148788755,1258
0.6859163079999999,76
3.274134237,2038
1.550703507,364
2.5922666490000004,557
0.7948742120000001,438
4.011373817,1397
1.342888019,535
0.655592255,124
0.12282960899999999,5
1.6177748060000001,266
1.755694877,496
0.532697712,74
1.269693582,272
1.2122147239999999,241
0.824612601,106
0.190695,0
0.5567065609999999,157
0.603696015,458
0.669216753,290
0.08543661,47
0.559453473,843
0.312348969,191
0.296715455,178
1.507386206,1521
0.353307801,96
0.5581701339999999,162
0.48681993,58
0.954222928,398
0.346323661,32
0.443353343,661
0.452941368,0
0.347886702,0
0.400418282,149
0.392180221,173
0.8383190450000001,530
0.586597811,188
1.178117459,948
1.250454413,243
0.33539365600000004,139
0.8872099499999999,363
0.477218011,295
0.7360115060000001,434
0.7299238149999999,252
0.379318626,207
0.304229511,259
0.627983044,114
1.371902618,560
0.6713786700000001,310
0.33295232199999997,415
0.30644590299999996,662
0.45337814000000004,2332
0.847573775,94
0.880788679,0
0.285976775,984
0.41217053000000003,3249
0.24775203599999998,2725
0.320983682,3743
0.29407517,1821
0.174031952,1098
0.27780165999999995,2407
0.28676440999999997,1688
0.311355899,1133
0.04528214,118
0.899909838,1576
0.691330543,0
0.37107384600000004,2219
0.448976468,2339
0.313123371,2409
0.373132994,1469
0.19622538,1423
0.206553446,2505
0.374069704,0
0.193111624,1073
0.306053747,1266
0.363417271,1855
1.002112853,0
0.282868916,0
8.514060227,4246
0.579206709,137
0.884535586,182
0.960784016,348
1.461125139,734
4.587111472,2070
3.267500092,840
0.110118247,49
1.336812287,469
1.604086572,785
0.553197116,151
1.205745767,410
0.109253819,796
0.117701494,824
0.095301628,465
0.07468427400000001,418
0.519477547,36
1.628143514,629
0.258654436,0
0.135386854,0
0.097747087,0
0.211898154,0
1.364398932,568
2.658276319,2471
0.176406088,261
2.035386781,842
1.55688264,300
0.62482961,201
0.885259602,277
0.362353003,1490
0.19987031,1144
0.31393392,2086
2.06786585,854
0.311265376,0
2.5952641379999997,1573
0.260050016,0
2.679486875,947
3.036843153,1998
1.668579625,9
6.68416499,2300
3.0398015469999997,892
0.43238254200000004,0
1.861689047,915
5.86109979,1804
0.9873298930000001,185
3.031653957,435
0.5312216700000001,171
0.990181827,254
4.044422473,386
2.946537708,336
4.1511205,3216
1.20660754,292
1.3686238670000002,394
0.224000019,51
1.573331553,855
1.003633686,7
2.037477995,653
0.469382649,0
1.135024918,296
0.639966607,136
0.268008724,1
6.699064013,1314
3.463766905,461
2.49099398,997
1.8475268729999998,206
1.4354349069999999,434
1.050658807,221
0.855762063,160
1.488113461,666
5.769874282,455
2.287674032,759
2.586987262,513
4.01377904,675
4.376420251,701
3.392000475,576
0.66258007,153
0.5477948460000001,100
0.223846333,170
0.5683199329999999,101
1.264338283,79
1.271337946,436
0.984616221,612
0.537088426,587
0.9227911759999999,342
0.051123288999999995,385
0.838349008,349
0.100868183,216
1.589776445,937
0.921096041,689
1.399870821,405
2.406207492,1803
0.732776042,695
0.115045113,369
1.932296009,2581
1.130611156,1800
0.72547914,1257
1.007079856,743
1.1392923940000002,840
0.050070913999999994,0
0.59038138,314
1.2603714799999999,1682
3.722413376,1597
1.005278323,514
0.896577837,0
0.730444024,1343
0.287457934,0
0.297698007,950
0.716000655,4362
0.79208473,2239
0.284830558,1123
0.303747091,1209
0.39960182,1243
0.263217214,1750
0.25711788399999996,1984
0.265970909,2747
0.311548347,1209
0.452575775,1863
0.347376572,1813
0.683259431,916
0.327550974,0
0.298957118,1824
0.30879322,2190
0.319832322,1560
0.34838912699999997,0
0.43772616,3222
0.26959285499999996,426
0.192712106,1592
0.19958692,563
0.14659285500000002,199
0.13474867199999999,566
0.116654757,461
0.146007839,972
0.170438218,1219
0.233724819,0
0.9245367830000001,0
0.079663038,0
0.059164096,0
0.5604804170000001,0
0.19038239199999998,292
0.829564535,153
1.0987825519999999,466
1.779576985,399
0.458863724,154
2.026726221,728
0.563262465,129
1.19408158,501
0.41011611200000003,224
0.318802969,221
1.2957862919999998,473
1.9991892390000001,1592
0.5480440790000001,376
0.100108068,667
0.234725527,1273
0.133945018,1044
0.142066927,917
0.18029473999999998,1414
0.1956538,1501
0.068236942,406
0.052531252,352
0.349855911,2022
0.28688574,1455
0.365478573,958
0.238413342,692
0.22002390700000002,484
0.074652161,526
0.066459327,599
0.350934363,1150
0.07763447100000001,486
0.683065489,0
0.330924576,0
0.689754937,93
0.486917879,190
0.446050203,104
0.8602959,139
0.224261491,127
0.49192609499999995,194
0.134690744,285
0.848290059,0
0.292124782,0
0.62484735,283
0.048187747,210
0.169858254,81
0.5930817190000001,387
0.6289796280000001,458
0.380961491,9
0.257939718,644
0.8682871750000001,561
0.623272158,556
0.154047827,10
0.163069327,472
0.27098175199999996,766
0.19810076699999998,1350
0.40593850400000003,2610
0.259803372,1527
0.250991935,1259
0.539193975,343
0.388532495,646
0.48423726899999997,1226
0.26997095299999996,328
0.409642983,2284
0.269628016,1128
0.244994008,137
0.028382696,0
0.047150166,0
0.518012002,346
0.40529513,198
0.30167052299999997,382
0.9238626400000001,2905
0.655734071,1434
0.479232309,302
0.421022771,274
0.27296601000000004,4
0.003155422,0
0.066949008,124
0.10275324899999999,576
0.110036333,390
